query_id	parent_id	similarity	query_total_abundance	parent_total_abundance	query_overlap_abundance	parent_overlap_abundance	query_incidence	parent_incidence	common_incidence	smallest_ratio	sum_ratio	avg_ratio	smallest_non_null_ratio	avg_non_null_ratio	largest_ratio	relative_incidence	status
Taxa_3112	Taxa_1514	94.20	14	42	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1565	Taxa_1054	85.60	40	102	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2821	Taxa_2706	95.10	16	17	10	7	2	2	1	0.00	0.70	0.35	0.70	0.70	0.70	0.50	rejected
Taxa_5188	Taxa_1167	92.10	5	76	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_5188	Taxa_2989	92.10	5	15	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_5188	Taxa_863	90.60	5	191	5	29	1	7	1	5.80	5.80	5.80	5.80	5.80	5.80	1.00	accepted
Taxa_4488	Taxa_2544	95.70	7	27	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_4488	Taxa_581	93.10	7	212	0	0	1	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_4488	Taxa_430	92.80	7	244	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_4488	Taxa_1595	92.80	7	39	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_4488	Taxa_918	92.40	7	206	0	0	1	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_4488	Taxa_1897	92.40	7	53	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_4488	Taxa_1859	92.40	7	31	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_4488	Taxa_2595	92.40	7	18	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_4488	Taxa_3636	92.40	7	11	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_4488	Taxa_1831	92.10	7	71	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1445	Taxa_1160	95.00	56	62	0	0	4	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1445	Taxa_1621	93.90	56	61	0	0	4	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1445	Taxa_301	93.10	56	427	0	0	4	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1445	Taxa_581	92.10	56	212	0	0	4	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1445	Taxa_779	91.70	56	106	0	0	4	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_466	Taxa_123	92.40	226	1325	0	0	1	9	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_466	Taxa_284	85.90	226	438	0	0	1	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_466	Taxa_583	85.90	226	387	0	0	1	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2833	Taxa_1887	88.40	16	30	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2406	Taxa_1025	96.80	51	94	0	0	4	6	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2848	Taxa_1012	93.00	24	75	0	0	2	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2173	Taxa_1787	88.40	24	33	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2173	Taxa_668	88.10	24	137	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2173	Taxa_480	87.40	24	558	24	74	1	9	1	3.08	3.08	3.08	3.08	3.08	3.08	1.00	accepted
Taxa_4460	Taxa_3926	86.20	7	9	7	9	1	1	1	1.29	1.29	1.29	1.29	1.29	1.29	1.00	accepted
Taxa_2804	Taxa_132	91.00	16	1232	16	198	1	11	1	12.38	12.38	12.38	12.38	12.38	12.38	1.00	accepted
Taxa_2854	Taxa_403	89.20	16	374	0	0	1	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
