	Kingdom	Phyla	Class	Order	Family	Genus	Species	Kingdom_Eukaryome	Phylum_Eukaryome	Class_Eukaryome	Order_Eukaryome	Family_Eukaryome	Genus_Eukaryome	Species_Eukaryome
Taxa_9336	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Reticulascaceae	Cylindrotrichum	clavatum	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Reticulascaceae	Chaetopsis	NA
Taxa_9337	Fungi	NA	NA	NA	NA	NA	NA	Fungi	NA	NA	NA	NA	NA	NA
Taxa_9338	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales_fam_Incertae_sedis	Pringsheimia	euphorbiae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
Taxa_9339	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Zopfiella	NA
Taxa_9340	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Onygenales_gen_Incertae_sedis	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9341	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Delastria	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9342	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	galzinii	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	subtestacea
Taxa_9343	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Occultibambusaceae	Brunneofusispora	NA	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema	rubi
Taxa_9362	Fungi	Chytridiomycota	Chytridiomycota_cls_Incertae_sedis	Chytridiomycota_ord_Incertae_sedis	Chytridiomycota_fam_Incertae_sedis	Chytridiomycota_gen_Incertae_sedis	NA	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Taxa_9365	Fungi	Ascomycota	Lecanoromycetes	GS36	GS36_fam_Incertae_sedis	GS36_gen_Incertae_sedis	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9366	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Delastria	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9367	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9368	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Helvellosebacina	NA	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Helvellosebacina	NA
Taxa_9369	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9370	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Cuphophyllus	virgineus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Cuphophyllus	virgineus
Taxa_9371	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
Taxa_9391	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
Taxa_9392	Fungi	NA	NA	NA	NA	NA	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9393	Fungi	Ascomycota	NA	NA	NA	NA	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9394	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Delastria	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9395	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Delastria	NA	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Taxa_9396	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Delastria	NA	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Taxa_9397	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopora	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9398	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	NA	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_9399	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	herbarum	Fungi	Ascomycota	Dothideomycetes	Dothideales	Cladosporiaceae	Cladosporium	NA
Taxa_9400	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	NA	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	NA
Taxa_9401	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Karstenia	NA	Fungi	NA	NA	NA	NA	NA	NA
Taxa_9402	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	collinitus	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	collinitus
Taxa_9403	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Complexispora	multistratosa	Fungi	NA	NA	NA	NA	NA	NA
Taxa_9404	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Triscelophorus	NA	Fungi	Ascomycota	NA	NA	NA	NA	NA
Taxa_9405	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Libertasomycetaceae	Libertasomyces	myopori	Fungi	NA	NA	NA	NA	NA	NA
Taxa_9406	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	NA	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	NA
Taxa_9407	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	NA	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	NA
Taxa_9408	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apiosordaria	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Neoschizotheciaceae	Jugulospora	NA
Taxa_9429	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	exigua	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	NA
Taxa_9430	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
Taxa_9431	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	NA	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	NA
Taxa_9432	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
Taxa_9433	Fungi	NA	NA	NA	NA	NA	NA	Fungi	Mortierellomycota	GS48	NA	NA	NA	NA
